id_region,region__title
1,Алтайский край
3,Краснодарский край
4,Красноярский край
5,Приморский край
7,Ставропольский край
8,Хабаровский край
10,Амурская область
11,Архангельская область
12,Астраханская область
14,Белгородская область
15,Брянская область
17,Владимирская область
18,Волгоградская область
19,Вологодская область
20,Воронежская область
22,Нижегородская область
24,Ивановская область
25,Иркутская область
26,Республика Ингушетия
27,Калининградская область
28,Тверская область
29,Калужская область
30,Камчатский край
32,Кемеровская область
33,Кировская область
34,Костромская область
36,Самарская область
37,Курганская область
38,Курская область
41,Ленинградская область
42,Липецкая область
44,Магаданская область
46,Московская область
47,Мурманская область
49,Новгородская область
50,Новосибирская область
52,Омская область
53,Оренбургская область
54,Орловская область
56,Пензенская область
57,Пермский край
58,Псковская область
60,Ростовская область
61,Рязанская область
63,Саратовская область
64,Сахалинская область
65,Свердловская область
66,Смоленская область
68,Тамбовская область
69,Томская область
70,Тульская область
71,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО"
73,Ульяновская область
75,Челябинская область
76,Забайкальский край
77,Чукотский автономный округ
78,Ярославская область
79,Республика Адыгея
80,Республика Башкортостан
81,Республика Бурятия
82,Республика Дагестан
83,Кабардино-Балкарская Республика
84,Республика Алтай
85,Республика Калмыкия
86,Республика Карелия
87,Республика Коми
88,Республика Марий Эл
89,Республика Мордовия
90,Республика Северная Осетия - Алания
91,Карачаево-Черкесская Республика
92,Республика Татарстан
93,Республика Тыва
94,Удмуртская Республика
95,Республика Хакасия
96,Чеченская Республика
97,Чувашская Республика
98,Республика Саха
99,Еврейская автономная область
102,Винницкая область
103,Волынская область
104,Днепропетровская область
105,Донецкая Народная Республика
106,Житомирская область
107,Закарпатская область
108,Запорожская область
109,Ивано-Франковская область
110,Киевская область
111,Кировоградская область
112,Республика Крым
113,Луганская Народная Республика
114,Львовская область
115,Николаевская область
116,Одесская область
117,Полтавская область
118,Ровенская область
119,Сумская область
120,Тернопольская область
121,Харьковская область
122,Херсонская область
123,Хмельницкая область
124,Черкасская область
125,Черниговская область
126,Черновицкая область
127,"Вся Россия, кроме Москвы, Санкт-Петербурга и их областей"
